nama_file,label,md5_hash
R_8715.jpg,Recyclable,02b6ec5bc7c76efed16027bea19fd211
R_9275.jpg,Recyclable,02b6ec5bc7c76efed16027bea19fd211
O_1500.jpg,Organic,04063326bce08045d6a668c788cea105
O_473.jpg,Organic,04063326bce08045d6a668c788cea105
R_8486.jpg,Recyclable,08a364c3cede63a2273820590b06498e
R_9205.jpg,Recyclable,08a364c3cede63a2273820590b06498e
Printer_63.jpg,Electronic,0bdb9da68380941bb62cef41c49e468f
Printer_64.jpg,Electronic,0bdb9da68380941bb62cef41c49e468f
O_1453.jpg,Organic,18e0c587877ab4d9c338d9f998896ae7
O_403.jpg,Organic,18e0c587877ab4d9c338d9f998896ae7
R_8721.jpg,Recyclable,1dec435a888f181736969f22c63c68ac
R_9487.jpg,Recyclable,1dec435a888f181736969f22c63c68ac
Mobile_56.jpg,Electronic,2086b74534bb71e0a6bd160371c2fd35
Mobile_6.jpg,Electronic,2086b74534bb71e0a6bd160371c2fd35
R_8805.jpg,Recyclable,218cf6e6307b5c2c9f289617d82f2a3a
R_9484.jpg,Recyclable,218cf6e6307b5c2c9f289617d82f2a3a
16.large-pile-of-e-waste-sadoff-e-recycling.jpeg,Electronic,226c7ba8fa8071753f360dcfd63eda4c
8.large-pile-of-e-waste-sadoff-e-recycling.jpeg,Electronic,226c7ba8fa8071753f360dcfd63eda4c
O_10077.jpg,Organic,28f1232d4bd2e18a3dfa29cc3ce6a853
O_6683.jpg,Organic,28f1232d4bd2e18a3dfa29cc3ce6a853
Player_243.jpg,Electronic,2cdadbe24040e31fa3ba45868a38d6ea
Player_38.jpg,Electronic,2cdadbe24040e31fa3ba45868a38d6ea
40.5wh0lsj1gtwy.jpg,Electronic,3037c0f79ad2c808fcdfa8440379a24a
5wh0lsj1gtwy.jpg,Electronic,3037c0f79ad2c808fcdfa8440379a24a
R_8803.jpg,Recyclable,32f4987cd55ee570be6b1a3ddf7fb23d
R_9412.jpg,Recyclable,32f4987cd55ee570be6b1a3ddf7fb23d
O_1703.jpg,Organic,344700191fcc879fb8d47636b4634bb2
O_388.jpg,Organic,344700191fcc879fb8d47636b4634bb2
R_8567.jpg,Recyclable,37a636d104a9026bebc6fab63254551b
R_9471.jpg,Recyclable,37a636d104a9026bebc6fab63254551b
18.E-Waste_Landfill.jpg,Electronic,3d3d78b2abc93659c19c59edcd2e1698
5.E-Waste_Landfill.jpg,Electronic,3d3d78b2abc93659c19c59edcd2e1698
O_1642.jpg,Organic,3e337eac825df771b0270aaba6c3af1b
O_410.jpg,Organic,3e337eac825df771b0270aaba6c3af1b
Mouse_176.jpg,Electronic,3f354f036a337764cde8db4220ccf8be
Mouse_212.jpg,Electronic,3f354f036a337764cde8db4220ccf8be
O_1473.jpg,Organic,3fbd85c03726d0a6e278e697044d9b5b
O_192.jpg,Organic,3fbd85c03726d0a6e278e697044d9b5b
Mouse_171.jpg,Electronic,41b824af5fea2fe15ddafd55c94f50c3
Mouse_201.jpg,Electronic,41b824af5fea2fe15ddafd55c94f50c3
Television_207.jpg,Electronic,457c8e5e0117a785df49378fa7f73a5d
