status,skor_blur,rata_kecerahan,terindikasi_blur,terindikasi_gelap,terindikasi_terang,md5_hash,average_hash,nama_file,label
ok,641.6,216.09,False,False,False,db841c5732ddfec6a28cd286454b4078,18419614432758611582,R_1.jpg,Recyclable
ok,1623.29,220.47,False,False,True,765c293f52f30c4ddb134ffbba334593,18445851271073226751,R_10.jpg,Recyclable
ok,5905.53,145.91,False,False,False,33e006f764172b661e6e50e66b22745a,18157920823569334497,R_100.jpg,Recyclable
ok,1961.9,125.92,False,False,False,a3f2645c8e925438a4950935f38dcae0,17179332181503,R_1000.jpg,Recyclable
ok,22.41,175.6,True,False,False,469274ce32adae9b759c0913cae93753,18419020716151983359,R_1001.jpg,Recyclable
ok,4774.5,201.6,False,False,False,dfaa98d8a774f7e73cf5c31c6b806470,18428079383195482367,R_1002.jpg,Recyclable
ok,438.09,181.58,False,False,False,394f2c65df7b4fff3bb2ede36e7815bc,6944820001442326273,R_1003.jpg,Recyclable
ok,154.72,208.37,False,False,False,f482ac6b9f184c3a40510caa5956656d,44248892178431,R_1004.jpg,Recyclable
ok,3329.11,221.53,False,False,True,e8bf95bc0a54a3f775cbe39c5a6e7e53,13773199962688728100,R_1005.jpg,Recyclable
ok,33.64,142.32,True,False,False,f6d144467dc8fbad66b731c01431910b,4256753835147245,R_1006.jpg,Recyclable
ok,2673.12,149.76,False,False,False,0ac74b831b0be8e80f65d276e92144b0,938981272918622993,R_1007.jpg,Recyclable
ok,552.63,207.43,False,False,False,44a5cc1a52f8074f0c5be21cfac85c6f,18445013209569675721,R_1008.jpg,Recyclable
ok,1204.92,168.05,False,False,False,d82d6e4262b1a3f6a73b986d0e006fb2,17942058275461705788,R_1009.jpg,Recyclable
ok,689.16,238.57,False,False,True,cc321b62b2c784dcce5c74321b8a1bc8,16710579924991730663,R_101.jpg,Recyclable
ok,1965.54,234.78,False,False,True,a0cc2e56b90ef7ea754b673990c5e627,18439922444862211011,R_1010.jpg,Recyclable
ok,999.76,73.5,False,False,False,7f292d6097a182516e634b50dd712933,11902250322739133695,R_1011.jpg,Recyclable
ok,3641.44,153.97,False,False,False,e70f636b1046fea8134f7e1244d9b4f4,17645369359961904846,R_1012.jpg,Recyclable
ok,675.2,245.84,False,False,True,6840248dba3bb0f77ac966c57f2c5905,13803466362495238649,R_1013.jpg,Recyclable
ok,654.9,139.63,False,False,False,7cd92280a0126cb391b640ddde443a3f,90071992063041536,R_1014.jpg,Recyclable
ok,2817.49,198.49,False,False,False,73cbb3898e32693a1cab2b63fe2f88d2,9169117452234391799,R_1015.jpg,Recyclable
ok,32.82,212.13,True,False,False,e8a14d83c9694ebe572a42f9252ed95c,18446598079248336895,R_1016.jpg,Recyclable
ok,9240.55,127.54,False,False,False,a17bc0897fd30c92a4fdf1b149308f00,18401677179224131712,R_1017.jpg,Recyclable
ok,1371.35,231.26,False,False,True,cb56e7ed648a7809ce742ef322f594a1,18446744073535791268,R_1018.jpg,Recyclable
ok,2127.51,115.98,False,False,False,d5f0c641198f9dcd7c9a22a7d54aff01,15831316014513182,R_1019.jpg,Recyclable
ok,1693.47,186.74,False,False,False,61152d7f0e6ee89d2664f7b8ec74bc03,18432040870900498843,R_102.jpg,Recyclable
ok,5728.98,130.44,False,False,False,d7465bfaca63e133835617cc092341d3,17363753670730253836,R_1020.jpg,Recyclable
ok,4221.03,129.81,False,False,False,47e4287ba5ecc900e1c0e1cc13907b7c,11241202262599033655,R_1021.jpg,Recyclable
ok,5680.73,119.05,False,False,False,139532d2f5eca46324e5149eba6923e4,288222235567120632,R_1022.jpg,Recyclable
ok,4647.98,213.95,False,False,False,72b0875d0f3462e33d6640275b3f0215,18428067363882115583,R_1023.jpg,Recyclable
ok,367.93,174.29,False,False,False,556a8bb846309399942f2e45b4527c2d,2461802222767694,R_1024.jpg,Recyclable
