nama_file,label,lebar,tinggi,rasio_aspek,format_file,mode_warna,status
R_1.jpg,Recyclable,314,160,1.962,jpg,RGB,ok
R_10.jpg,Recyclable,300,150,2.0,jpg,RGB,ok
R_100.jpg,Recyclable,269,187,1.439,jpg,RGB,ok
R_1000.jpg,Recyclable,300,168,1.786,jpg,RGB,ok
R_1001.jpg,Recyclable,315,160,1.969,jpg,RGB,ok
R_1002.jpg,Recyclable,290,174,1.667,jpg,RGB,ok
R_1003.jpg,Recyclable,248,203,1.222,jpg,RGB,ok
R_1004.jpg,Recyclable,275,183,1.503,jpg,RGB,ok
R_1005.jpg,Recyclable,241,209,1.153,jpg,RGB,ok
R_1006.jpg,Recyclable,300,168,1.786,jpg,RGB,ok
R_1007.jpg,Recyclable,300,168,1.786,jpg,RGB,ok
R_1008.jpg,Recyclable,315,160,1.969,jpg,RGB,ok
R_1009.jpg,Recyclable,300,168,1.786,jpg,RGB,ok
R_101.jpg,Recyclable,225,225,1.0,jpg,RGB,ok
R_1010.jpg,Recyclable,197,255,0.773,jpg,RGB,ok
R_1011.jpg,Recyclable,299,168,1.78,jpg,RGB,ok
R_1012.jpg,Recyclable,299,168,1.78,jpg,RGB,ok
R_1013.jpg,Recyclable,225,225,1.0,jpg,RGB,ok
R_1014.jpg,Recyclable,259,194,1.335,jpg,RGB,ok
R_1015.jpg,Recyclable,410,123,3.333,jpg,RGB,ok
R_1016.jpg,Recyclable,400,126,3.175,jpg,RGB,ok
R_1017.jpg,Recyclable,299,168,1.78,jpg,RGB,ok
R_1018.jpg,Recyclable,204,247,0.826,jpg,RGB,ok
R_1019.jpg,Recyclable,275,183,1.503,jpg,RGB,ok
R_102.jpg,Recyclable,203,248,0.819,jpg,RGB,ok
R_1020.jpg,Recyclable,275,183,1.503,jpg,RGB,ok
R_1021.jpg,Recyclable,251,200,1.255,jpg,RGB,ok
R_1022.jpg,Recyclable,275,183,1.503,jpg,RGB,ok
R_1023.jpg,Recyclable,225,225,1.0,jpg,RGB,ok
R_1024.jpg,Recyclable,367,137,2.679,jpg,RGB,ok
R_1025.jpg,Recyclable,259,194,1.335,jpg,RGB,ok
R_1026.jpg,Recyclable,225,225,1.0,jpg,RGB,ok
R_1027.jpg,Recyclable,224,224,1.0,jpg,RGB,ok
R_1028.jpg,Recyclable,300,168,1.786,jpg,RGB,ok
R_1029.jpg,Recyclable,251,201,1.249,jpg,RGB,ok
R_103.jpg,Recyclable,179,282,0.635,jpg,RGB,ok
R_1030.jpg,Recyclable,259,194,1.335,jpg,RGB,ok
R_1031.jpg,Recyclable,259,194,1.335,jpg,RGB,ok
R_1032.jpg,Recyclable,300,168,1.786,jpg,RGB,ok
R_1033.jpg,Recyclable,225,225,1.0,jpg,RGB,ok
R_1034.jpg,Recyclable,297,169,1.757,jpg,RGB,ok
R_1035.jpg,Recyclable,225,225,1.0,jpg,RGB,ok
R_1036.jpg,Recyclable,241,209,1.153,jpg,RGB,ok
R_1037.jpg,Recyclable,225,225,1.0,jpg,RGB,ok
R_1038.jpg,Recyclable,274,184,1.489,jpg,RGB,ok
R_1039.jpg,Recyclable,299,169,1.769,jpg,RGB,ok
R_104.jpg,Recyclable,267,189,1.413,jpg,RGB,ok
R_1040.jpg,Recyclable,217,233,0.931,jpg,RGB,ok
